id,name,level,incomePerSec,mergeCount,spriteName,unlockDesc,direction
1,신입 닌자,1,1,2,1,처음부터 해금,1
2,꼬마 닌자,2,2.2,2,2,2번 합성 시 해금,1
3,두루마리 닌자,3,3.5,2,3,3번 합성 시 해금,1
4,포니테일 닌자,4,5,2,4,4번 합성 시 해금,1
5,그린스카프 닌자,5,7,2,5,5번 합성 시 해금,1
6,블레이드 닌자,6,9.5,3,6,6번 합성 시 해금,1
7,트윈테일 닌자,7,12,3,7,7번 합성 시 해금,1
8,오색비단 닌자,8,15,3,8,8번 합성 시 해금,1
9,검은 두루마리 닌자,9,18.5,3,9,9번 합성 시 해금,1
10,독극물 닌자,10,22,3,10,10번 합성 시 해금,1
11,연막탄 닌자,11,26,3,11,11번 합성 시 해금,1
12,에너제틱 닌자,12,30.5,3,12,12번 합성 시 해금,1
13,적색 닌자,13,35,3,13,13번 합성 시 해금,1
14,쌍검 닌자,14,40,3,14,14번 합성 시 해금,-1
15,장검 닌자,15,45,3,15,15번 합성 시 해금,1
16,쌍단검 닌자,16,51,3,16,16번 합성 시 해금,1
17,블루마린 닌자,17,57.5,3,17,17번 합성 시 해금,1
18,마스터 닌자,18,64.5,3,18,18번 합성 시 해금,1
19,주얼리 닌자,19,72,3,19,19번 합성 시 해금,1
20,오브 닌자,20,80,3,20,20번 합성 시 해금,-1
21,홍련 닌자,21,88.5,3,21,21번 합성 시 해금,1
22,글로우 아머 닌자,22,97.5,3,22,22번 합성 시 해금,1
23,플래티넘 닌자,23,107,3,23,23번 합성 시 해금,1
24,블랙퍼플 닌자,24,117,3,24,24번 합성 시 해금,1
25,신화 닌자 천사,25,128,3,25,25번 합성 시 해금,1
